Date,nPeople
2021-11-29 13:04:00,1
2021-11-29 13:09:00,2
2021-11-29 13:17:00,3
2021-11-29 13:21:00,2
2021-11-29 13:26:00,2
2021-11-29 13:38:00,2
2021-11-29 14:00:00,3
2021-11-29 14:31:00,4
2021-11-29 14:33:00,5
2021-11-29 14:35:00,6
2021-11-29 14:38:00,7
2021-11-29 14:43:00,6
2021-11-29 14:44:00,8
2021-11-29 14:45:00,10
2021-11-29 14:48:00,12
2021-11-29 14:50:00,15
2021-11-29 14:51:00,19
2021-11-29 14:52:00,20
2021-11-29 14:53:00,23
2021-11-29 14:54:00,24
2021-11-29 14:55:00,25
2021-11-29 14:56:00,31
2021-11-29 14:57:00,40
2021-11-29 14:58:00,43
2021-11-29 14:59:00,52
2021-11-29 15:00:00,58
2021-11-29 15:01:00,64
2021-11-29 15:02:00,67
2021-11-29 15:03:00,71
2021-11-29 15:04:00,73
2021-11-29 15:05:00,76
2021-11-29 15:06:00,79
2021-11-29 15:07:00,78
2021-11-29 15:08:00,80
2021-11-29 15:09:00,83
2021-11-29 15:10:00,84
2021-11-29 15:11:00,86
2021-11-29 15:12:00,87
2021-11-29 15:13:00,89
2021-11-29 15:16:00,90
2021-11-29 15:17:00,92
2021-11-29 15:18:00,95
2021-11-29 15:19:00,96
2021-11-29 15:20:00,100
2021-11-29 15:21:00,100
2021-11-29 15:22:00,102
2021-11-29 15:23:00,103
2021-11-29 15:26:00,102
2021-11-29 15:29:00,103
2021-11-29 15:30:00,105
2021-11-29 15:31:00,106
2021-11-29 15:32:00,105
2021-11-29 15:34:00,106
2021-11-29 15:37:00,107
2021-11-29 15:38:00,106
2021-11-29 15:39:00,105
2021-11-29 15:40:00,107
2021-11-29 15:41:00,107
2021-11-29 15:42:00,108
2021-11-29 15:44:00,110
2021-11-29 15:45:00,111
2021-11-29 15:46:00,112
2021-11-29 15:47:00,113
2021-11-29 15:48:00,114
2021-11-29 15:49:00,114
2021-11-29 15:51:00,116
2021-11-29 15:52:00,115
2021-11-29 15:53:00,115
2021-11-29 15:55:00,116
2021-11-29 15:56:00,116
2021-11-29 15:58:00,119
2021-11-29 15:59:00,118
2021-11-29 16:00:00,120
2021-11-29 16:01:00,119
2021-11-29 16:03:00,120
2021-11-29 16:04:00,120
2021-11-29 16:06:00,121
2021-11-29 16:07:00,120
2021-11-29 16:08:00,119
2021-11-29 16:09:00,121
2021-11-29 16:10:00,122
2021-11-29 16:11:00,124
2021-11-29 16:12:00,126
2021-11-29 16:13:00,127
2021-11-29 16:14:00,126
2021-11-29 16:15:00,127
2021-11-29 16:16:00,127
2021-11-29 16:17:00,127
2021-11-29 16:20:00,129
2021-11-29 16:21:00,130
2021-11-29 16:22:00,129
2021-11-29 16:23:00,130
2021-11-29 16:24:00,131
2021-11-29 16:25:00,128
2021-11-29 16:26:00,129
2021-11-29 16:27:00,129
2021-11-29 16:28:00,129
2021-11-29 16:29:00,128
2021-11-29 16:30:00,129
2021-11-29 16:31:00,127
2021-11-29 16:32:00,128
2021-11-29 16:33:00,129
2021-11-29 16:35:00,129
2021-11-29 16:36:00,131
2021-11-29 16:38:00,131
2021-11-29 16:39:00,131
2021-11-29 16:40:00,132
2021-11-29 16:42:00,133
2021-11-29 16:43:00,134
2021-11-29 16:44:00,132
2021-11-29 16:45:00,135
2021-11-29 16:46:00,135
2021-11-29 16:47:00,136
2021-11-29 16:48:00,139
2021-11-29 16:49:00,139
2021-11-29 16:51:00,137
2021-11-29 16:52:00,135
2021-11-29 16:53:00,134
2021-11-29 16:54:00,135
2021-11-29 16:55:00,136
2021-11-29 16:56:00,136
2021-11-29 16:57:00,137
2021-11-29 16:58:00,135
2021-11-29 17:00:00,131
2021-11-29 17:01:00,130
2021-11-29 17:03:00,129
2021-11-29 17:05:00,127
2021-11-29 17:06:00,61
2021-11-29 17:07:00,51
2021-11-29 17:08:00,50
2021-11-29 17:09:00,49
2021-11-29 17:10:00,48
2021-11-29 17:12:00,42
2021-11-29 17:13:00,36
2021-11-29 17:15:00,34
2021-11-29 17:16:00,31
2021-11-29 17:18:00,29
2021-11-29 17:19:00,28
2021-11-29 17:20:00,27
2021-11-29 17:21:00,26
2021-11-29 17:23:00,25
2021-11-29 17:24:00,23
2021-11-29 17:25:00,22
2021-11-29 17:35:00,21
2021-11-29 17:45:00,20
2021-11-29 17:46:00,19
2021-11-29 17:48:00,18
2021-11-29 17:51:00,17
2021-11-29 18:03:00,16
2021-11-29 18:17:00,14
2021-11-29 18:18:00,13
2021-11-29 18:35:00,12
2021-11-29 18:44:00,11
2021-11-29 19:04:00,10
2021-11-29 19:09:00,8
2021-11-29 19:10:00,0
